Name,Current price,Change(%),Open,High,Low,Volume
TEVOGEN BIO HOLDINGS INC.,1.09,186.84,0.86,1.31,0.74,249536606
NVIDIA CORP.,138.07,2.43,136.47,139.6,136.3,232347668
GRITSTONE BIO INC.,0.054,6.09,0.0527,0.0775,0.0502,172199566
SOFI TECHNOLOGIES INC.,10.04,11.43,9.62,10.07,9.38,116449940
JET.AI INC.,0.102,0.99,0.1188,0.1269,0.102,109573342
TESLA INC.,219.16,0.62,220.13,221.91,213.74,86291923
MARA HOLDINGS INC.,16.98,5.6,16.79,17.96,16.34,65860574
MICROALGO INC.,0.373,9.87,0.3249,0.41,0.3118,59421836
TRUMP MEDIA & TECHNOLOGY GROUP,29.95,18.47,25.26,30.47,25.25,59222419
INVO BIOSCIENCE INC.,1.24,90.77,0.67,1.42,0.65,56098756
RANI THERAPEUTICS HLD.,3.18,57.43,2.53,3.34,2.51,55213507
SUPER MICRO COMPUTER INC.,47.39,10.86,48.17,49.46,46.44,45227787
ZAPATA COMPUTING HLD.,0.077,170.5,0.075,0.0877,0.0621,44506146
LONGBOARD PHARMACEUTICALS INC.,58.99,51.65,58.93,59.12,58.7,43087695
LUXURBAN HOTELS INC.,0.0571,7.74,0.0555,0.061,0.0521,42190841
APPLE INC.,231.3,1.65,228.7,231.73,228.6,39882085
SOUNDHOUND AI INC.,5.19,5.7,5.01,5.42,4.95,38455282
VERB TECHNOLOGY CO.,12.53,58.41,14.0,16.13,12.2,37895244
INTEL CORP.,23.44,10.51,23.58,23.77,23.27,35403646
CLEANSPARK INC.,10.81,12.72,10.03,10.95,9.8,34798116
WALGREENS BOOTS ALLIANCE INC.,9.0,12.28,9.28,9.45,8.91,33622224
ADVANCED MICRO DEVICES INC.,165.27,11.56,167.77,168.9,165.15,31757205
MICROSTRATEGY INC.,201.67,15.14,224.48,227.15,201.43,31736611
RIOT PLATFORMS INC.,8.74,3.92,8.66,8.91,8.43,30168548
OPENDOOR TECHNOLOGIES INC,1.93,3.21,1.9,1.95,1.82,29766233
EXPION360 INC.,3.52,47.28,4.0,4.25,3.18,29723104
UP FINTECH HOLDING,7.31,115.2,8.28,8.32,7.29,27928781
IRIS ENERGY LTD.,8.53,10.21,8.11,8.66,7.89,26287473
GRAB HOLDINGS LTD.,3.63,10.55,3.67,3.68,3.62,25563746
PLUG POWER INC.,2.08,11.89,2.1,2.12,2.04,25442436
LUMINAR TECHNOLOGIES INC.,0.8311,14.39,0.86,0.8699,0.816,24137737
AMAZON.COM INC.,187.54,10.68,189.78,189.83,187.36,22614407
JD.COM INC. ADS,44.14,0.71,43.77,45.35,43.35,22318336
BRIGHT MINDS BIOSCIENCES INC.,2.49,130.56,1.11,2.66,1.11,21504441
PELOTON INTERACTIVE INC.,5.4,9.98,4.92,5.49,4.75,20873562
TILRAY BRANDS INC.,1.59,12.45,1.63,1.64,1.57,20675756
AMERICAN AIRLINES GROUP INC.,11.87,0.68,11.85,11.95,11.7,20610477
BITFARMS LTD.,1.91,3.24,1.95,1.96,1.85,20312389
RIVIAN AUTOMOTIVE INC.,10.35,11.43,10.35,10.55,10.26,20180400
UPSTART HOLDINGS INC.,54.07,14.99,48.69,56.08,48.54,20097187
CEMTREX INC.,0.409,15.98,0.43,0.4546,0.3936,19700465
WARNER BROS. DISCOVERY,7.54,0.27,7.49,7.57,7.35,19693549
AGRIFORCE GROWING SYSTEMS,0.0618,6.19,0.0591,0.0665,0.0575,19579096
KAIXIN HOLDINGS,0.17,118.47,0.1894,0.2,0.154,19454684
WW INTERNATIONAL INC.,1.57,15.42,1.75,1.87,1.5,19276077
SIRIUSXM HOLDINGS INC.,26.9,7.9,26.25,27.29,26.11,19091898
ALPHABET INC. CLASS A,164.96,1.05,163.64,166.23,163.4,19016141
COINBASE GLOBAL INC.,196.35,11.32,181.18,197.69,178.27,18131377
TERAWULF INC.,4.49,6.65,4.32,4.57,4.22,17866775
AFFIRM HOLDINGS INC.,49.26,4.63,47.2,49.6,46.21,17770003
PDD HOLDINGS INC. ADS,136.03,16.03,140.54,142.39,134.99,17579313
SHARECARE INC.,1.43,0.7,1.42,1.44,1.42,17448229
FUELCELL ENERGY INC.,0.3388,12.22,0.345,0.3515,0.3341,17319541
ROBINHOOD MARKETS INC.,27.0,2.78,26.9,27.14,26.16,17233030
BROADCOM INC.,182.31,0.46,183.3,184.95,180.13,17195824
LUCID GROUP INC.,3.33,12.06,3.38,3.41,3.33,17062843
B. RILEY FINANCIAL INC.,5.42,23.46,5.21,5.82,5.11,16890891
IQIYI INC. ADS,2.53,14.89,2.59,2.64,2.48,16777577
